filename,person,audio,noise,snr,provider,text,status,transcription_time
p3_1_cafe_0dB.wav,p3,1,cafe,0dB,amazon,"genera una cotización para el teniente Pto fácil con cinco monitores LED, tres soportes de pared.",success,8.01
p3_1_cafe_5dB.wav,p3,1,cafe,5dB,amazon,"genera una cotización para el teniente Pompe fácil con cinco monitores LED, tres soportes de pared.",success,9.08
p3_1_cafe_10dB.wav,p3,1,cafe,10dB,amazon,Genera una cotización para el teniente Compu fácil con cinco monitores tres soportes de pared.,success,7.51
p3_1_clean.wav,p3,1,clean,,amazon,Genera una cotización para el cliente fácil con cinco monitores tres soportes de pared,success,7.43
p3_1_traffic_0dB.wav,p3,1,traffic,0dB,amazon,Genera una cotización para el cliente fácil con cinco monitores tres soportes de pared.,success,7.67
p3_1_traffic_5dB.wav,p3,1,traffic,5dB,amazon,Genera una cotización para el cliente fácil con cinco monitores tres soportes de pared.,success,7.62
p3_1_traffic_10dB.wav,p3,1,traffic,10dB,amazon,genera una cotización para el cliente Compufacil con cinco monitores LED tres soportes de pared.,success,8.36
p3_1_warehouse_0dB.wav,p3,1,warehouse,0dB,amazon,"genera una cotización para el cliente Pompo Fil con cinco monitores LED, tres soportes de pared.",success,7.77
p3_1_warehouse_5dB.wav,p3,1,warehouse,5dB,amazon,genera una cotización para el cliente fácil con cinco monitores tres soportes de pared.,success,7.70
p3_1_warehouse_10dB.wav,p3,1,warehouse,10dB,amazon,genera una cotización para el cliente facil con cinco monitores tres soportes de pared.,success,7.77
p3_2_cafe_0dB.wav,p3,2,cafe,0dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnofit.,success,8.43
p3_2_cafe_5dB.wav,p3,2,cafe,5dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,7.92
p3_2_cafe_10dB.wav,p3,2,cafe,10dB,amazon,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a,success,9.18
p3_2_clean.wav,p3,2,clean,,amazon,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a,success,8.41
p3_2_traffic_0dB.wav,p3,2,traffic,0dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,8.30
p3_2_traffic_5dB.wav,p3,2,traffic,5dB,amazon,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,8.11
p3_2_traffic_10dB.wav,p3,2,traffic,10dB,amazon,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecos.,success,7.96
p3_2_warehouse_0dB.wav,p3,2,warehouse,0dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a tecnic.,success,9.13
p3_2_warehouse_5dB.wav,p3,2,warehouse,5dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a tecnosis.,success,8.25
p3_2_warehouse_10dB.wav,p3,2,warehouse,10dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,8.68
p3_3_cafe_0dB.wav,p3,3,cafe,0dB,amazon,crea una oferta comercial para Carla Santano con un escritorio ejecutivo modelo X G Premium.,success,8.88
p3_3_cafe_5dB.wav,p3,3,cafe,5dB,amazon,crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo X G Premium.,success,8.09
p3_3_cafe_10dB.wav,p3,3,cafe,10dB,amazon,crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,8.98
p3_3_clean.wav,p3,3,clean,,amazon,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,8.73
p3_3_traffic_0dB.wav,p3,3,traffic,0dB,amazon,crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,7.57
p3_3_traffic_5dB.wav,p3,3,traffic,5dB,amazon,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,7.89
