filename,person,audio,noise,snr,provider,text,status,transcription_time
p1_1_cafe_0dB.wav,p1,1,cafe,0dB,google,Genera una cotización para el cliente con con fácil con cinco monitores LED y tres soportes de pared.,success,1.45
p1_1_cafe_5dB.wav,p1,1,cafe,5dB,google,Genera una cotización para el cliente Compufácil con cinco monitores LED y tres soportes de pared.,success,5.02
p1_1_cafe_10dB.wav,p1,1,cafe,10dB,google,Genera una cotización para el cliente Compofácil con cinco monitores LED y tres soportes de pared.,success,1.04
p1_1_clean.wav,p1,1,clean,,google,Genera una cotización para el cliente Compufácil con cinco monitores LED y tres soportes de pared.,success,1.04
p1_1_traffic_0dB.wav,p1,1,traffic,0dB,google,Genera una cotización para el cliente Compufácil con cinco monitores LED y tres soportes de pared.,success,1.08
p1_1_traffic_5dB.wav,p1,1,traffic,5dB,google,Genera una cotización para el cliente Compufácil con cinco monitores LED y tres soportes de pared.,success,1.02
p1_1_traffic_10dB.wav,p1,1,traffic,10dB,google,Genera una cotización para el cliente Compufácil con cinco monitores LED y tres soportes de pared.,success,0.95
p1_1_warehouse_0dB.wav,p1,1,warehouse,0dB,google,Genera una cotización para el cliente con un paquete con cinco monitores LED y tres soportes de pared.,success,1.05
p1_1_warehouse_5dB.wav,p1,1,warehouse,5dB,google,Genera una cotización para el cliente con fácil con cinco monitores LED y tres soportes de pared.,success,0.96
p1_1_warehouse_10dB.wav,p1,1,warehouse,10dB,google,Genera una cotización para el cliente Compufácil con cinco monitores LED y tres soportes de pared.,success,0.99
p1_2_cafe_0dB.wav,p1,2,cafe,0dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSys.,success,1.10
p1_2_cafe_5dB.wav,p1,2,cafe,5dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSys.,success,1.09
p1_2_cafe_10dB.wav,p1,2,cafe,10dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSis.,success,1.09
p1_2_clean.wav,p1,2,clean,,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno Sys.,success,1.03
p1_2_traffic_0dB.wav,p1,2,traffic,0dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSys.,success,1.07
p1_2_traffic_5dB.wav,p1,2,traffic,5dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSys.,success,0.97
p1_2_traffic_10dB.wav,p1,2,traffic,10dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno Sis.,success,1.07
p1_2_warehouse_0dB.wav,p1,2,warehouse,0dB,google,Preparo presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSys.,success,0.94
p1_2_warehouse_5dB.wav,p1,2,warehouse,5dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSis.,success,0.93
p1_2_warehouse_10dB.wav,p1,2,warehouse,10dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSis.,success,1.02
