filename,person,audio,noise,snr,provider,text,status,transcription_time
p5_1_cafe_0dB.wav,p5,1,cafe,0dB,amazon,"genera una cotización para el cliente Cofacil con cinco monitores LED, tres soporte de pared.",success,71.85
p5_1_cafe_5dB.wav,p5,1,cafe,5dB,amazon,"genera una cotización para el cliente Compu fácil con cinco monitores LED, tres soportes de pared.",success,59.85
p5_1_cafe_10dB.wav,p5,1,cafe,10dB,amazon,"genera una cotización para el cliente Compufacil con cinco monitores LED, tres soportes de pared.",success,68.64
p5_1_clean.wav,p5,1,clean,,amazon,"genera una cotización para el cliente Compufacil con cinco monitores LED, tres soportes de pared.",success,66.27
p5_1_traffic_0dB.wav,p5,1,traffic,0dB,amazon,Genera una cotización para el cliente Compufacil con cinco monitores LED tres soporte de pared.,success,26.56
p5_1_traffic_5dB.wav,p5,1,traffic,5dB,amazon,Genera una cotización para el cliente Compufacil con cinco monitores LED tres soportes de pared.,success,41.86
p5_1_traffic_10dB.wav,p5,1,traffic,10dB,amazon,"genera una cotización para el cliente Compufacil con cinco monitores LED, tres soportes de pared.",success,34.62
p5_1_warehouse_0dB.wav,p5,1,warehouse,0dB,amazon,"genera una cotización para el cliente con tu fácil con cinco monitores LED, tres soportes de pared.",success,30.83
p5_1_warehouse_5dB.wav,p5,1,warehouse,5dB,amazon,"genera una cotización para el cliente Compufacil con cinco monitores LED, tres soportes de pared.",success,73.80
p5_1_warehouse_10dB.wav,p5,1,warehouse,10dB,amazon,"genera una cotización para el cliente Compufacil con cinco monitores LED, tres soportes de pared.",success,42.62
p5_2_cafe_0dB.wav,p5,2,cafe,0dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno.,success,43.95
p5_2_cafe_5dB.wav,p5,2,cafe,5dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecn Sis.,success,48.26
p5_2_cafe_10dB.wav,p5,2,cafe,10dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecn Sis.,success,20.55
p5_2_clean.wav,p5,2,clean,,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,42.98
p5_2_traffic_0dB.wav,p5,2,traffic,0dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno.,success,50.31
p5_2_traffic_5dB.wav,p5,2,traffic,5dB,amazon,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno.,success,73.25
p5_2_traffic_10dB.wav,p5,2,traffic,10dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,70.77
p5_2_warehouse_0dB.wav,p5,2,warehouse,0dB,amazon,prepara un presupuesto urgente por 10 teclados inalámbricos y 10 razones ópticos para enviar a Tecnos.,success,37.08
p5_2_warehouse_5dB.wav,p5,2,warehouse,5dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno.,success,68.46
p5_2_warehouse_10dB.wav,p5,2,warehouse,10dB,amazon,prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,57.91
p5_3_cafe_0dB.wav,p5,3,cafe,0dB,amazon,crea una oferta comercial para Cas Santana con un escritorio ejecutivo modelo X G Premium.,success,71.61
p5_3_cafe_5dB.wav,p5,3,cafe,5dB,amazon,crea una oferta comercial para carga Santana con un escritorio ejecutivo modelo X G Premium.,success,45.30
p5_3_cafe_10dB.wav,p5,3,cafe,10dB,amazon,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,51.30
p5_3_clean.wav,p5,3,clean,,amazon,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,40.70
p5_3_traffic_0dB.wav,p5,3,traffic,0dB,amazon,crea una oferta comercial para carga Santana con un escritorio ejecutivo modelo XG Premium.,success,50.05
p5_3_traffic_5dB.wav,p5,3,traffic,5dB,amazon,"crea una oferta comercial para carga Santana con un escritorio ejecutivo, modelo XG Premium.",success,72.88
p5_3_traffic_10dB.wav,p5,3,traffic,10dB,amazon,crea una oferta comercial para carga Santana con un escritorio ejecutivo modelo XG Premium.,success,42.75
p5_3_warehouse_0dB.wav,p5,3,warehouse,0dB,amazon,crea una oferta comercial para Cas Santana con un escritorio ejecutivo. vuelo XG Premium.,success,73.69
p5_3_warehouse_5dB.wav,p5,3,warehouse,5dB,amazon,crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,44.37
p5_3_warehouse_10dB.wav,p5,3,warehouse,10dB,amazon,crea una oferta comercial para carga Santana con un escritorio ejecutivo modelo XG Premium.,success,12.75
p5_4_cafe_0dB.wav,p5,4,cafe,0dB,amazon,genera una proforma para el D C. incluye dos laptops C73 impresoras multifuncional.,success,47.41
p5_4_cafe_5dB.wav,p5,4,cafe,5dB,amazon,genera una proforma para Alina Cord incluye dos laptops Core I73 impresoras multifuncional.,success,50.62
p5_4_cafe_10dB.wav,p5,4,cafe,10dB,amazon,genera una proforma para Andina Cord incluye dos laptops Core I73 impresoras multifunción.,success,23.08
p5_4_clean.wav,p5,4,clean,,amazon,"Genera una proforma para Andina Corp, incluye dos laptops Core I73 impresoras multifunción.",success,56.19
p5_4_traffic_0dB.wav,p5,4,traffic,0dB,amazon,"Genera una proforma para Andina Cord, incluye dos laptops Core I73 impresoras multifuncional.",success,48.74
