filename,person,audio,noise,snr,provider,text,status,transcription_time
p10_1_cafe_0dB.wav,p10,1,cafe,0dB,custom,genera una cotización para el cliente compulsas con 5 monitores LED y 3 soportes de pared.,success,1.46
p10_1_cafe_5dB.wav,p10,1,cafe,5dB,custom,Genera una cotización para el cliente CompuFacil con 5 monitores LED y 3 soportes de pared.,success,1.38
p10_1_cafe_10dB.wav,p10,1,cafe,10dB,custom,Genera una cotización para el cliente CompuFacil con 5 monitores LED y 3 soportes de pared.,success,1.35
p10_1_clean.wav,p10,1,clean,,custom,Genera una cotización para el cliente CompuFacil con 5 monitores LED y 3 soportes de pared.,success,1.40
p10_1_traffic_0dB.wav,p10,1,traffic,0dB,custom,Tener una cotización para el cliente CompuFace con 5 monitores LED y 3 soportes de pared.,success,1.40
p10_1_traffic_5dB.wav,p10,1,traffic,5dB,custom,Genera una cotización para el cliente CompuFacil con 5 monitores LED y 3 soportes de pared.,success,1.43
p10_1_traffic_10dB.wav,p10,1,traffic,10dB,custom,Genera una cotización para el cliente CompuFacil con 5 monitores LED y 3 soportes de pared.,success,1.43
p10_1_warehouse_0dB.wav,p10,1,warehouse,0dB,custom,Tiene una potenciación para el cliente cómplice de 5 monitores LED y 3 soportes de color.,success,1.40
p10_1_warehouse_5dB.wav,p10,1,warehouse,5dB,custom,genera una cotización para el cliente con bus fácil con 5 monitores LED y 3 soportes de pared,success,1.35
p10_1_warehouse_10dB.wav,p10,1,warehouse,10dB,custom,Genera una cotización para el cliente CompuFacil con 5 monitores LED y 3 soportes de pared.,success,1.38
p10_2_cafe_0dB.wav,p10,2,cafe,0dB,custom,Prepara un presupuesto urgente con 10 escalados inalámbricos y 10 ratones ópticos.,success,1.50
p10_2_cafe_5dB.wav,p10,2,cafe,5dB,custom,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,1.44
p10_2_cafe_10dB.wav,p10,2,cafe,10dB,custom,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,1.60
